booking_date,property,country,channel,room_nights,room_revenue
2026-04-24,GARFIELD BUNGALOW,Germany,Booking.com,2,196316
2026-04-19,GARFIELD BUNGALOW,Australia,Direct,1,148246
2026-04-17,GARFIELD VILLA,India,Direct,5,258496
2026-04-15,CINNAMON MUSEUM,India,Expedia,7,56814
2026-05-11,GARFIELD COTTAGE,Germany,Booking.com,2,402944
2026-04-13,GARFIELD BUNGALOW,Sri Lanka,Expedia,7,410663
2026-04-24,KAHA,Australia,Agoda,1,446922
2026-05-27,GARFIELD BUNGALOW,USA,Agoda,7,429201
2026-04-02,GARFIELD VILLA,USA,Booking.com,7,353445
2026-04-28,GARFIELD BUNGALOW,Sri Lanka,Airbnb,3,525435
2026-04-12,MOUNT CINNAMON,Germany,Booking.com,6,329946
2026-04-18,GARFIELD BUNGALOW,USA,Booking.com,2,534714
2026-05-21,CINNAMON MUSEUM,USA,Agoda,2,767870
2026-04-08,MOUNT CINNAMON,Sri Lanka,Expedia,4,330746
2026-04-19,GARFIELD BUNGALOW,USA,Expedia,2,737277
2026-05-21,MIRISSA HILLS,Australia,Booking.com,3,196413
2026-05-24,GARFIELD VILLA,India,Airbnb,5,468801
2026-04-05,MOUNT CINNAMON,India,Airbnb,1,99405
2026-04-21,GARFIELD BUNGALOW,UK,Travel Agent,4,675380
2026-05-13,GARFIELD BUNGALOW,India,Airbnb,5,313626
2026-04-22,VILLA SAYURA,India,Expedia,7,722097
2026-04-10,MOUNT CINNAMON,Australia,Booking.com,4,53402
2026-04-17,KAHA,Sri Lanka,Travel Agent,3,719987
2026-04-12,GARFIELD VILLA,UK,Agoda,7,606116
2026-05-16,VILLA SAYURA,Sri Lanka,Direct,3,372451
2026-04-08,GARFIELD VILLA,India,Direct,1,559597
2026-04-05,GARFIELD BUNGALOW,USA,Airbnb,5,223148
2026-05-07,KAHA,India,Travel Agent,6,260922
2026-05-22,KAHA,USA,Expedia,4,592717
2026-04-08,MIRISSA HILLS,UK,Direct,3,72056
2026-04-01,GARFIELD VILLA,Sri Lanka,Travel Agent,6,111733
2026-04-02,GARFIELD VILLA,Germany,Direct,5,299565
2026-05-07,KAHA,India,Booking.com,6,648782
2026-04-26,MIRISSA HILLS,Australia,Airbnb,2,148907
2026-05-12,GARFIELD BUNGALOW,Australia,Airbnb,4,106802
2026-04-13,GARFIELD BUNGALOW,USA,Expedia,7,164576
2026-04-07,GARFIELD VILLA,India,Airbnb,2,492374
2026-05-15,GARFIELD COTTAGE,UK,Direct,4,627057
2026-04-21,GARFIELD BUNGALOW,India,Direct,1,297861
2026-05-16,GARFIELD COTTAGE,Australia,Booking.com,7,470521
2026-04-13,VILLA SAYURA,Sri Lanka,Airbnb,3,527110
2026-05-23,KAHA,USA,Agoda,6,560311
2026-04-10,GARFIELD COTTAGE,UK,Direct,5,618532
2026-05-02,VILLA SAYURA,Sri Lanka,Agoda,4,577276
2026-04-17,GARFIELD COTTAGE,Sri Lanka,Booking.com,1,673939
2026-04-13,GARFIELD BUNGALOW,Sri Lanka,Agoda,2,657040
2026-04-14,VILLA SAYURA,USA,Agoda,5,598177
2026-05-07,MOUNT CINNAMON,USA,Travel Agent,3,300280
2026-05-05,KAHA,USA,Travel Agent,3,529434
2026-04-01,MOUNT CINNAMON,Australia,Agoda,5,154837
2026-04-17,GARFIELD BUNGALOW,Germany,Booking.com,3,122132
2026-05-10,GARFIELD VILLA,UK,Airbnb,7,619605
2026-04-22,KAHA,India,Expedia,6,158618
2026-05-04,GARFIELD COTTAGE,Sri Lanka,Travel Agent,5,212998
2026-05-20,KAHA,UK,Travel Agent,3,263487
2026-05-09,KAHA,Sri Lanka,Direct,6,494151
2026-04-01,KAHA,Germany,Booking.com,6,324680
2026-05-18,GARFIELD COTTAGE,USA,Airbnb,5,60139
2026-04-23,GARFIELD BUNGALOW,UK,Agoda,1,437151
2026-05-05,GARFIELD COTTAGE,Sri Lanka,Expedia,3,91832
2026-04-22,MOUNT CINNAMON,UK,Travel Agent,1,420858
2026-04-08,CINNAMON MUSEUM,UK,Booking.com,4,75990
2026-05-26,GARFIELD COTTAGE,Australia,Travel Agent,7,310222
2026-04-26,KAHA,USA,Direct,4,90605
2026-04-07,MIRISSA HILLS,Australia,Expedia,3,288651
2026-04-22,GARFIELD VILLA,UK,Airbnb,3,342136
2026-05-12,GARFIELD BUNGALOW,USA,Agoda,4,762526
