inquiry_date,channel,inquiries
2026-05-01,Direct,5
2026-05-01,Booking.com,1
2026-05-01,Expedia,11
2026-05-01,Airbnb,8
2026-05-02,Direct,12
2026-05-02,Booking.com,11
2026-05-02,Expedia,2
2026-05-02,Airbnb,3
2026-05-03,Direct,3
2026-05-03,Booking.com,11
2026-05-03,Expedia,7
2026-05-03,Airbnb,4
2026-05-04,Direct,11
2026-05-04,Booking.com,9
2026-05-04,Expedia,12
2026-05-04,Airbnb,8
2026-05-05,Direct,9
2026-05-05,Booking.com,4
2026-05-05,Expedia,1
2026-05-05,Airbnb,3
2026-05-06,Direct,4
2026-05-06,Booking.com,3
2026-05-06,Expedia,5
2026-05-06,Airbnb,2
2026-05-07,Direct,4
2026-05-07,Booking.com,0
2026-05-07,Expedia,11
2026-05-07,Airbnb,8
2026-05-08,Direct,2
2026-05-08,Booking.com,4
2026-05-08,Expedia,0
2026-05-08,Airbnb,0
2026-05-09,Direct,8
2026-05-09,Booking.com,4
2026-05-09,Expedia,11
2026-05-09,Airbnb,2
2026-05-10,Direct,10
2026-05-10,Booking.com,12
2026-05-10,Expedia,7
2026-05-10,Airbnb,1
2026-05-11,Direct,0
2026-05-11,Booking.com,9
2026-05-11,Expedia,4
2026-05-11,Airbnb,7
2026-05-12,Direct,7
2026-05-12,Booking.com,7
2026-05-12,Expedia,5
2026-05-12,Airbnb,2
2026-05-13,Direct,0
2026-05-13,Booking.com,4
2026-05-13,Expedia,7
2026-05-13,Airbnb,1
2026-05-14,Direct,1
2026-05-14,Booking.com,6
2026-05-14,Expedia,7
2026-05-14,Airbnb,1
2026-05-15,Direct,9
2026-05-15,Booking.com,10
2026-05-15,Expedia,10
2026-05-15,Airbnb,0
2026-05-16,Direct,2
2026-05-16,Booking.com,2
2026-05-16,Expedia,12
2026-05-16,Airbnb,9
2026-05-17,Direct,4
2026-05-17,Booking.com,1
2026-05-17,Expedia,3
2026-05-17,Airbnb,1
2026-05-18,Direct,8
2026-05-18,Booking.com,12
2026-05-18,Expedia,6
2026-05-18,Airbnb,9
2026-05-19,Direct,9
2026-05-19,Booking.com,12
2026-05-19,Expedia,9
2026-05-19,Airbnb,3
2026-05-20,Direct,12
2026-05-20,Booking.com,8
2026-05-20,Expedia,6
2026-05-20,Airbnb,7
2026-05-21,Direct,7
2026-05-21,Booking.com,4
2026-05-21,Expedia,9
2026-05-21,Airbnb,6
2026-05-22,Direct,4
2026-05-22,Booking.com,9
2026-05-22,Expedia,9
2026-05-22,Airbnb,0
2026-05-23,Direct,9
2026-05-23,Booking.com,11
2026-05-23,Expedia,1
2026-05-23,Airbnb,12
2026-05-24,Direct,3
2026-05-24,Booking.com,10
2026-05-24,Expedia,3
2026-05-24,Airbnb,4
2026-05-25,Direct,10
2026-05-25,Booking.com,1
2026-05-25,Expedia,2
2026-05-25,Airbnb,3
2026-05-26,Direct,2
2026-05-26,Booking.com,8
2026-05-26,Expedia,1
2026-05-26,Airbnb,2
2026-05-27,Direct,0
2026-05-27,Booking.com,6
2026-05-27,Expedia,7
2026-05-27,Airbnb,11
2026-05-28,Direct,9
2026-05-28,Booking.com,7
2026-05-28,Expedia,4
2026-05-28,Airbnb,0
2026-05-29,Direct,3
2026-05-29,Booking.com,4
2026-05-29,Expedia,11
2026-05-29,Airbnb,4
2026-05-30,Direct,11
2026-05-30,Booking.com,7
2026-05-30,Expedia,1
2026-05-30,Airbnb,10
