property,month,booked_room_nights,available_days,sellable_room_nights,occupancy,room_revenue,monthly_target,tonik_share
VILLA SAYURA,2026-02,9,28,28,0.32,718803,1470000,
VILLA SAYURA,2026-03,5,31,31,0.16,325188.154392,1302000,
VILLA SAYURA,2026-04,3,30,30,0.1,171113,1260000,
VILLA SAYURA,2026-05,2,31,31,0.06,83929,651000,
VILLA SAYURA,2026-06,0,30,30,0,,630000,
VILLA SAYURA,2026-07,0,31,31,0,,651000,
VILLA SAYURA,2026-08,0,31,31,0,,976500,
GARFIELD BUNGALOW,2026-02,0,28,28,0,,1000000,
GARFIELD BUNGALOW,2026-03,2,31,31,0.06,292032,1000000,-67968
GARFIELD BUNGALOW,2026-04,0,30,30,0,,1000000,
GARFIELD BUNGALOW,2026-05,0,31,31,0,,1000000,
GARFIELD BUNGALOW,2026-06,0,30,30,0,,1000000,
GARFIELD BUNGALOW,2026-07,0,31,31,0,,1000000,
GARFIELD BUNGALOW,2026-08,0,31,31,0,,1000000,
GARFIELD COTTAGE,2026-02,2,28,28,0.06,228000,1000000,57000
GARFIELD COTTAGE,2026-03,4,31,31,0.13,426863,1000000,106715.78739399998
GARFIELD COTTAGE,2026-04,0,30,30,0,,1000000,
GARFIELD COTTAGE,2026-05,0,31,31,0,,1000000,
GARFIELD COTTAGE,2026-06,0,30,30,0,,1000000,
GARFIELD COTTAGE,2026-07,0,31,31,0,,1000000,
GARFIELD COTTAGE,2026-08,0,31,31,0,,1000000,
GARFIELD VILLA,2026-02,0,28,28,0,,1000000,
GARFIELD VILLA,2026-03,0,31,31,0,,1000000,
GARFIELD VILLA,2026-04,3,30,30,0.1,435000,1000000,66000
GARFIELD VILLA,2026-05,0,31,31,0,,1000000,
GARFIELD VILLA,2026-06,0,30,30,0,,1000000,
GARFIELD VILLA,2026-07,0,31,31,0,,1000000,
GARFIELD VILLA,2026-08,0,31,31,0,,1000000,
KAHA,2026-02,,,,0,,,
KAHA,2026-03,0,16,16,0,,186000,
KAHA,2026-04,0,30,30,0.1,,360000,
KAHA,2026-05,2,31,31,0.06,90000,744000,
KAHA,2026-06,0,30,30,0,,1080000,
KAHA,2026-07,0,31,31,0,,1116000,
KAHA,2026-08,0,31,31,0,,1255500,
MOUNT CINNAMON,2026-02,88,28,112,0.79,2159351,2572416,
MOUNT CINNAMON,2026-03,109,31,124,0.88,2164394,2848032,
MOUNT CINNAMON,2026-04,56,30,120,0.47,1245251,2721600,
MOUNT CINNAMON,2026-05,52,31,124,0.46,1009073,2812320,
MOUNT CINNAMON,2026-06,0,30,120,0,,2721600,
MOUNT CINNAMON,2026-07,24,31,124,0.2,491547,2812320,
MOUNT CINNAMON,2026-08,20,31,124,0.17,,3937248,
CINNAMON MUSEUM,2026-02,59,28,112,0.53,1471085,1714944,
CINNAMON MUSEUM,2026-03,42,31,124,0.34,795668,1898688,
CINNAMON MUSEUM,2026-04,24,30,120,0.2,574957,1814400,
CINNAMON MUSEUM,2026-05,3,31,124,0.02,52672,1874880,
CINNAMON MUSEUM,2026-06,0,30,120,0,,1814400,
CINNAMON MUSEUM,2026-07,0,31,124,0,,1874880,
CINNAMON MUSEUM,2026-08,0,31,124,0,,2624832,
MIRISSA HILLS,2026-02,3541315.6506554326,388025,3850,8500,1573593.7500000002,1634129,3608097.75
MIRISSA HILLS,2026-03,2960061.498557,369325,9900,,535937.5,1026340,1941502.5
MIRISSA HILLS,2026-04,1820208,622125,12100,38000,589531.25,438870,1700626.25
MIRISSA HILLS,2026-05,1061745,417955,,,306250,42250,766455
MIRISSA HILLS,2026-06,0,,,,,,0
MIRISSA HILLS,2026-07,491547,,,,,,0
MIRISSA HILLS,2026-08,0,,,,,,0
